sentence_id,condition,oci_A_Default,oci_B_Edit_heavy,oci_C_Style_heavy,oci_D_Similarity_heavy,oci_E_Equal_weights
A.train.gold.bea19_007069,role,0.00953939626978473,0.013461591628913912,0.006740278911170804,0.006759245104598501,0.00670415743239468
A.train.gold.bea19_002571,fewshot,0.008524027459954286,0.01186662307943776,0.0059333115397189155,0.0059333115397189875,0.007355344883949075
A.train.gold.bea19_002571,instruction,0.008524027459954286,0.01186662307943776,0.0059333115397189155,0.0059333115397189875,0.007355344883949075
A.train.gold.bea19_002571,role,0.008524027459954286,0.01186662307943776,0.0059333115397189155,0.0059333115397189875,0.007355344883949075
A.train.gold.bea19_008015,fewshot,0.014874141876430257,0.020834695434237802,0.010417347717118938,0.01041734771711901,0.011812139043260396
A.train.gold.bea19_008015,instruction,0.014874141876430257,0.020834695434237802,0.010417347717118938,0.01041734771711901,0.011812139043260396
A.train.gold.bea19_008015,role,0.014874141876430257,0.020834695434237802,0.010417347717118938,0.01041734771711901,0.011812139043260396
B.train.gold.bea19_006446,fewshot,0.12665556568317368,0.0768788201664856,0.15062970479605592,0.0945865361591284,0.12170616777806618
B.train.gold.bea19_006446,instruction,0.12665556568317368,0.0768788201664856,0.15062970479605592,0.0945865361591284,0.12170616777806618
B.train.gold.bea19_006446,role,0.12665556568317368,0.0768788201664856,0.15062970479605592,0.0945865361591284,0.12170616777806618
A.train.gold.bea19_009370,fewshot,0.017042074094214446,0.020830708217108425,0.01330991761606255,0.019099044631079223,0.01470271533363932
A.train.gold.bea19_009370,instruction,0.01621314152911433,0.020278086507041677,0.014822926848403981,0.012480985050962502,0.013597471913505821
A.train.gold.bea19_009370,role,0.012700228832951996,0.017936144709600123,0.008968072354800098,0.00896807235480017,0.008913588318622715
B.train.gold.bea19_012562,fewshot,0.011784897025171678,0.01621444916639428,0.008107224583197176,0.008107224583197249,0.011703170970905596
B.train.gold.bea19_012562,instruction,0.011784897025171678,0.01621444916639428,0.008107224583197176,0.008107224583197249,0.011703170970905596
B.train.gold.bea19_012562,role,0.011784897025171678,0.01621444916639428,0.008107224583197176,0.008107224583197249,0.011703170970905596
C.train.gold.bea19_001640,fewshot,0.08462860109631322,0.06095805701204664,0.0950643945917824,0.06281394840758821,0.07746971374245272
C.train.gold.bea19_001640,instruction,0.08462860109631322,0.06095805701204664,0.0950643945917824,0.06281394840758821,0.07746971374245272
C.train.gold.bea19_001640,role,0.08462860109631322,0.06095805701204664,0.0950643945917824,0.06281394840758821,0.07746971374245272
A.train.gold.bea19_008833,fewshot,0.022225400457665957,0.03138825324180019,0.015694126620900133,0.015694126620900202,0.015598779557589698
A.train.gold.bea19_008833,instruction,0.022225400457665957,0.03138825324180019,0.015694126620900133,0.015694126620900202,0.015598779557589698
A.train.gold.bea19_008833,role,0.022225400457665957,0.03138825324180019,0.015694126620900133,0.015694126620900202,0.015598779557589698
C.train.gold.bea19_009457,fewshot,0.031593676596280366,0.039247550670911235,0.026000496795712633,0.023065588221279354,0.02218584995247954
C.train.gold.bea19_009457,instruction,0.03159146832268326,0.039246078488513164,0.02599828852211553,0.023060435582886108,0.022182905587683398
C.train.gold.bea19_009457,role,0.031593676596280366,0.039247550670911235,0.026000496795712633,0.023065588221279354,0.02218584995247954
A.train.gold.bea19_000493,fewshot,0.006266502376342246,0.008856589634621707,0.004428294817310889,0.004428294817310961,0.004345311439133022
A.train.gold.bea19_000493,instruction,0.010161745200450385,0.013792878875890572,0.007404433861903352,0.008420422709819483,0.007533956006615556
A.train.gold.bea19_000493,role,0.006266502376342246,0.008856589634621707,0.004428294817310889,0.004428294817310961,0.004345311439133022
A.train.gold.bea19_008517,fewshot,0.010702645303414747,0.013965351854232476,0.009089156796240826,0.008053322103376944,0.008255156143901371
A.train.gold.bea19_008517,instruction,0.010702645303414747,0.013965351854232476,0.009089156796240826,0.008053322103376944,0.008255156143901371
A.train.gold.bea19_008517,role,0.010702645303414747,0.013965351854232476,0.009089156796240826,0.008053322103376944,0.008255156143901371
A.train.gold.bea19_008370,fewshot,0.017979117913683434,0.02368338206843948,0.0140560757853609,0.015122461441363914,0.013947094561602973
A.train.gold.bea19_008370,instruction,0.017979117913683434,0.02368338206843948,0.0140560757853609,0.015122461441363914,0.013947094561602973
A.train.gold.bea19_008370,role,0.017979117913683434,0.02368338206843948,0.0140560757853609,0.015122461441363914,0.013947094561602973
ABC.train.gold.bea19_032688,fewshot,0.029678161681913198,0.03953187715464813,0.02363522169230516,0.023500593275597732,0.02152576946059605
ABC.train.gold.bea19_032688,instruction,0.029678161681913198,0.03953187715464813,0.02363522169230516,0.023500593275597732,0.02152576946059605
